Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Columbo ;Columbo;tévésorozat;1974;USA;;Peter Falk;II (2009, F/9218/E, Universal)
Columbo ;Columbo;tévésorozat;1971;USA;;Peter Falk;II (2007, F/6416/E, INTERCOM, 723 perc)
Columbo ;Columbo;bűnügyi;1978;USA;;Peter Falk;II (2010, F/10142/E, Universal, 448 perc)
Columbo ;Columbo;tévésorozat;1973;USA;;Peter Falk;II (2009, F/7041/E, SELECT '86, 655 perc)
Columbo ;Columbo;tévésorozat;1971;USA;;Peter Falk;II (2008, F/6928/E, INTERCOM, 637 perc)
Comic strip - Képtelen képregény;Chasing Amy;vígjáték;1997;USA;Kevin Smith;Ben Affleck/Jason Lee/Joey Lauren Adams;Csak 16 éven felülieknek (1998, METROPOLIS, 104 perc)
Conagher;Conagher;western;1991;USA;Reynaldo Villalobos;Katharine Ross/Sam Elliott/Barry Corbin;III (2005, F/1620/J)
Con air - A fegyencjárat;Con Air;akció;1997;USA;Simon West;John Malkovich/Nicolas Cage/John Cusack;Csak 16 éven felülieknek (1997, INTERCOM, 115 perc) / III (2007, F/6994/J, INTERCOM, 110 perc)
Conan a barbár - Extra változat;Conan the Barbarian;fantasy;1982;USA;John Milius;Arnold Schwarzenegger/James Earl Jones/Max von Sydow;III (2005, F/1229/J)
Conan, a pusztító;Conan the destroyer;fantasy;1984;USA;Richard Fleischer;Grace Jones/Wilt Chamberlain/Arnold Schwarzenegger;III (2006, F/3133/J)
Conan kapitány;Capitanie Conan;háborús;1996;Franciaország;Bertrand Tavernier;Bernard Le Coq/Samuel Le Bihan/Philippe Torreton;III (2007, F/6356/J, 127 perc)
Congo;Congo;horror;1995;USA;Frank Marshall;Laura Linney/Dylan Walsh/Ernie Hudson;14 éven aluliaknak nem ajánlott (1995, UIP DUNA FILM KFT., 108 perc)
Connie, a Boci;Connie the Cow;animáció;2002;Spanyolország/Kanada;Josep Viciana;;I (2009, F/9258/A)
Constantine, a démonvadász;Constantine;akció - fantasy;2005;Németország/USA;Francis Lawrence;Rachel Weisz/Keanu Reeves/Shia LaBeouf;III (2005, F/1253/J, Pro Video Film, 121 perc) / III (2005, F/1253/J, INTERCOM, 121 perc)
Continental divide;Continental Divide;vígjáték;1981;USA;Michael Apted;John Belushi/Blair Brown/Allen Garfield;II (2005, F/1154/J, UNIVERSAL PICTURES H. KFT.)
Control;Control;életrajzi;2007;USA/Nagy-Britannia/Ausztrália;Anton Corbijn;Sam Riley/Samantha Morton/Alexandra Maria Lara;III (2008, F/7412/J, BUDAPEST FILM, 122 perc)
Cool túra;Road Trip;vígjáték;2000;USA;Todd Phillips/Scott Armstrong;Amy Smart/Breckin Meyer/Sean William Scott;III (2008, F/7917/J, INTERCOM, 94 perc) / Korhatár nélkül (2000, UIP DUNA FILM KFT., 94 perc)
Cop land;Cop Land;akció;1997;USA;James Mangold;Sylvester Stallone/Harvey Keitel/Robert De Niro;III (2006, F/3940/J) / Csak 16 éven felülieknek (1998, FLAMEX, 104 perc)
Copperfield David;COPPERFIELD DAVID;filmdráma;2000;USA;Peter Medak;Michael Richards/Hugh Dancy/Max Dolbey;I (2004, F/0207/J, FF FILM KFT.)
Copperfield Dávid;David Copperfield;filmdráma;1999;USA/Anglia;Simon Curtis;Emilia Fox/Ciarán McMenamin/Daniel Radcliffe;II (2007, F/6951/J, Klub Publishing, 185 perc)
Coraline és a titkos ajtó;Coraline;animáció;2009;USA;Henry Selick;Ian McShane/Dakota Fanning/Jennifer Saunders;II (2009, Universal, 101 perc) / II (2009, F/8740/A, UIP-Duna Film, 101 perc)
Corelli kapitány mandolinja;Captain Corelli's Mandolin;romantikus - dráma;2001;USA;John Madden;Nicolas Cage/Penelopé Cruz/John Hurt;II (2007, F/5066/J) / 14 éven aluliaknak nem ajánlott (2001, UIP DUNA FILM KFT., 127 perc)
Corky romano;Corky Romano;bűnügyi - vígjáték;2001;USA;Rob Pritts;Peter Falk/Chris Kattan/Vinessa Shaw;Korhatár nélkül (2001, INTERCOM, 85 perc)
Corporation;The Corporation;dokumentum;2003;Kanada;Jennifer Abbott/Mark Achbar;Jane Akre/Maude Barlow/Ray Anderson;II (2005, F/1074/D, SZIMPLAFILM KFT., 145 perc)
Costa brava;Costa Brava;útifilm;2006;Magyarország;;;I (2006, F/3811/E)
Country texasban;Honeysuckle Rose;zenés;1980;USA;Jerry Schatzberg;Amy Irving/Willie Nelson/Dyan Cannon;Korhatár nélkül (1987, MOKÉP, 126 perc)
Crank 2. - Magasfeszültség;Crank: High Voltage;akció;2009;USA;Brian Taylor/Mark Neveldine;Jason Statham/David Carradine/Amy Smart;IV (2009, F/9238/J, Fórum Hungary, 96 perc) / IV (2009, Fórum Home Entertainment, 96 perc)
Crank - Felpörögve;Crank;akció;2006;USA;Mark Neveldine/Brian Taylor;Efren Ramirez/Jason Statham/Amy Smart;IV (2007, F/4254/J, SPI International, 88 perc) / IV (2006, F/4254/J, SPI, 88 perc)
C.r.a.z.y;C.R.A.Z.Y;vígjáték;2005;Kanada;Jean-Marc Vallée;Michel Côté/Marc-André Grondin/Danielle Proulx;II (2006, F/3493/J, 127 perc)
Creature comforts;Creature comforts;animáció;2003;Nagy-Britannia;Richard Goleszowski;;I (2005, F/2315/A)
Crimewave - Bűnözési hullám;Crimewave;bűnügyi - vígjáték;1985;USA;Sam Raimi;Louise Lasser/Paul L. Smith/Brion James;II (2006, F/2716/J)
Cromwell;Cromwell;filmdráma;1970;Nagy-Britannia;Ken Hughes;Robert Morley/Richard Harris/Alec Guinness;II (2005, F/2247/J)
Cronicas;Crónicas;thriller;2004;Mexikó/Ekvador;Sebastián Cordero;Alfred Molina/Damián Alcázar/John Leguizamo;III (2006, F/3203/J)
Crooklyn;Crooklyn;vígjáték;1994;USA;Spike Lee;David Patrick Kelly/Alfre Woodard/Delroy Lindo;II (2008, F/7554/J, BUDAPEST FILM, 115 perc)
Cry-baby;Cry-Baby;szatíra;1990;USA;John Waters;Susan Tyrrell/Johnny Depp/Amy Locane;14 éven aluliaknak nem ajánlott (1990, DUNA FILM, 85 perc) / II (2005, F/2141/J, Universal, 81 perc)
Cry Wolf;Cry_Wolf;misztikus;2005;USA;Jeff Wadlow;Lindy Booth/Julian Morris/Jared Padalecki;III (2009, F/9579/J, ADS Service Kft., 90 perc)
C. S. Lewis és a Narnia krónikái;C.S. Lewis & Chronicles of Narnia -The True Story of the Author of the Classic Tale;dokumentum;2005;USA;;;I (2005, F/5484/D, VIP Produkció, 56 perc)
Cuba;Cuba;dokumentum;1993;Magyarország;Szemző Tibor;;Korhatár nélkül (1994, BBS TOLDI ESTÉJE, 35 perc)
Cuki hagyatéka;Cookie's Fortune;szatíra;1998;USA;Robert Altman;Liv Tyler/Julianne Moore/Glenn Close;Csak 16 éven felülieknek (2000, BUDAPEST FILM, 117 perc)
Cukorbébi;Zuckerbaby;vígjáték;1985;NSZK;Percy Adlon;Eisi Gulp/Marianne Sagebrecht;Csak 16 éven felülieknek (1988, BUDAPEST FILM, 88 perc)
Cukorfalat;Hard Candy;thriller;2005;USA;David Slade;Patrick Wilson/Ellen Page/Sandra Oh;IV (2006, F/3568/J, 103 perc)
Cukrosnéni;I Want Candy;vígjáték;2007;Nagy-Britannia;Stephen Surjik;Tom Riley/Tom Burke/Carmen Electra;III (2008, F/6760/J, 85 perc) / III (2008, F/6760/J, 85 perc)
Cunami;Haeundae;katasztrófa;2009;Dél-Korea;Je-gyun Yun;Kyung-gu Sol/Ji-won Ha/Nicole Dionne;III (2009, F/10051/J, Intersonic, 107 perc)
Curly aranya;The Legend of Curly's Gold;western;1994;USA;Paul Weiland;Daniel Stern/Billy Crystal/Jon Lovitz;14 éven aluliaknak nem ajánlott (1994, INTERCOM, 116 perc)
Cutter útja;Cutter's Way;filmdráma;1981;USA;Ivan Passer;John Heard/Jeff Bridges/Lisa Eichhorn;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 108 perc)
Cyberworld 3D;CyberWorld;animáció;2000;USA;Colin Davies/Elaine Despins;Robert Smith/Matt Frewer/Robert N. Smith;II (2008, F/7010/A, Cinema City, 44 perc)
Cyborg 2 - Üvegárnyék;Cyborg 2;sci-fi;1993;USA;Michael Schroeder;Jack Palance/Angelina Jolie/Elias Koteas;III (2007, F/3845/J, Fórum Home Entertainment, 99 perc)
Cyborg - A robotnő;Cyborg;sci-fi;1989;USA;Albert Pyun;Jean-Claude Van Damme/Deborah Richter/Vincent Klyn;III (2006, F/4340/J)
Cyrano de Bergerac;Cyrano de Bergerac;filmdráma;1950;USA;Michael Gordon;William Prince/Mala Powers/José Ferrer;I (F2623/J)
Cyrano de Bergerac;Cyrano de Bergerac;filmdráma;1990;Franciaország;Jean-Paul Rappeneau;Gérard Depardieu/Vincent Pérez/Anne Brochet;II (2008, F/8528/J, 135 perc) / Korhatár nélkül (1991, MOKÉP, 138 perc)
Czukor Show;Czukor Show;vígjáték;2010;Magyarország;Dömötör Tamás;Czukor Balázs/Anger Zsolt/Árpa Attila;III (2010, F/9927/J, Hungaricom, 88 perc)
Csajok;Csajok;filmdráma;1995;Magyarország/Németország;Szabó Ildikó;Udvaros Dorottya/Szalay Marianna/Eszenyi Enikő;Csak 18 éven felülieknek (1996, MOKÉP, 93 perc)
Csajok a csúcson;Mädchen, Mädchen;vígjáték;2001;Németország;Dennis Gansel;Karoline Herfurth/Felicitas Woll/Diana Amft;Csak 16 éven felülieknek (2001, BEST HOLLYWOOD KFT., 90 perc) / II (2004, F/0198/J, BEST HOLLYWOOD KFT., 90 perc) / III (2005, F/1927/J, BEST HOLLYWOOD KFT., 90 perc)
Csajok a pályán;Gracie;filmdráma;2007;USA;Davis Guggenheim;Christopher Shand/Jesse Lee Soffer/Carly Schroeder;II (2008, F/8369/J, INTERSONIC KFT., 92 perc)
Csajok maffiája;WiseGirls;bűnügyi;2002;USA/Kanada/Nagy-Britannia;David Anspaugh;Mira Sorvino/Melora Walters/Mariah Carey;III (2006, F/3687/J)
Csajozós film;Date movie;vígjáték;2006;USA;Aaron Seltzer;Adam Campbell/Tony Cox/Alyson Hannigan;III (2006, F/3059/J) / III (2006, F/3059/J, 83 perc)
Csajozós páros;Je préfre qu'on reste amis;vígjáték;2005;Franciaország;Olivier Nakache;Gérard Depardieu/Jean-Paul Rouve/Annie Girardot;II (2005, F/2121/J)
Csak 18 éven felülieknek;Rated X;filmdráma;2000;USA;Emilio Estevez;Charlie Sheen/Megan Ward/Emilio Estevez;IV (2008, F/7333/J, MIRAX, 115 perc)
Csak a testeden át;Over Her Dead Body;romantikus - vígjáték;2008;USA;Jeff Lowell;Paul Rudd/Eva Longoria Parker/Jason Biggs;II (2008, F/7000/J, 95 perc) / II (2008, F/7000/J, 95 perc)
Csak az a foci;Die wilden kerle - Alles ist gut, solange du wild bist!;családi;2003;Németország;Joachim Masannek;Constantin Gastmann/Wilson Ochsenknecht/Jimi Ochsenknecht;I (2005, F/2692/J) / Korhatár nélkül (1992, DUNA FILM, 75 perc)
Csak az a szex...;Anything Else;romantikus - vígjáték;2003;USA;Woody Allen;Fisher Stevens/Jason Biggs/Woody Allen;14 éven aluliaknak nem ajánlott (2004, BUDAPEST FILM, 108 perc)
Csak a zene;I'll be there;vígjáték;2003;USA/Nagy-Britannia;Craig Ferguson;Charlotte Church/Craig Ferguson/Jemma Redgrave;II (2005, F/0542/J, WARNER HOME VIDEO)
Csak barátok;Just Friends;vígjáték;2005;USA/Kanada;Roger Kumble;Ryan Reynolds/Anna Faris/Amy Smart;II (2006, F/3731/J) / II (2006, F/3731/J, 96 perc)
Csak egy csók;Un baiser s'il vous plaît;vígjáték;2007;Franciaország;Emmanuel Mouret;Virginie Ledoyen/Julie Gayet/Emmanuel Mouret;II (2009, F/7319/J, BUDAPEST FILM, 96 perc) / II (2008, F/7319/J, BUDAPEST FILM, 96 perc)
Csak egy kis kurázsi;Just Add Water;vígjáték;2008;USA;Hart Bochner;Dylan Walsh/Tracy Middendorf/Jonah Hill;III (F/9506/J)
Csak egy kis pánik;Analyze This;vígjáték;1999;Ausztrália/USA;Harold Ramis;Robert De Niro/Billy Crystal/Lisa Kudrow;14 éven aluliaknak nem ajánlott (1999, INTERCOM, 103 perc)
Csak egy lövés;Regarding Henry;filmdráma;1991;USA;Mike Nichols;Anette Bening/Harrison Ford/Michael Haley;Csak 16 éven felülieknek (1991, UIP DUNA FILM KFT., 108 perc)
Csak egy mozi;Csak egy mozi;tragikomédia;1985;Magyarország;Sándor Pál;Gisela May/Major Tamás/Jean-Pierre Léaud;14 éven aluliaknak nem ajánlott (1985, MOKÉP, 94 perc)
Csak egy szerelmesfilm;Karlighed pa film;bűnügyi;2007;Denmark;Ole Bornedal;Rebecka Hemse/Nikolaj Lie Kaas/Anders W. Berthelsen;IV (2008, F/7424/J, Cirko Film, 100 perc)
Csak egyszer élünk;You Only Live Once;bűnügyi;1937;USA;Fritz Lang;Henry Fonda/Sylvia Sidney/Barton MacLane;III (2007, F/6366/J, 86 perc)
Csak egyszer szeretünk;Samo jednom se ljubi;társadalmi dráma;1981;Jugoszlávia;Rajko Grlie;Vladica Milosavljevic/Predrag Manojlovie/Mladen Budiscak;Csak 16 éven felülieknek (1983, MOKÉP, 104 perc)
Csak lazán!;Be Cool;vígjáték;2005;USA;F. Gary Gray;John Travolta/Uma Thurman/Vince Vaughn;II (2005, F/0945/J, INTERCOM, 118 perc) / II (2005, F/0945/J, INTERCOM)
Csak ön után;Apres vous...;romantikus - vígjáték;2003;Franciaország;Pierre Salvadori;Sandrine Kiberlain/Daniel Auteuil/José Garcia;II (2004, F/0277/J, MOKÉP) / II (2004, F/0277/J, MOKÉP, 110 perc)
Csak semmi pánik;Csak semmi pánik;kaland;1982;Magyarország;Szőnyi G. Sándor;Kern András/Petra Hinze/Bujtor István;Korhatár nélkül (1982, MOKÉP, 92 perc)
Csak sex és más semmi;Csak szex és más semmi;vígjáték;2005;Magyarország;Krisztina Goda;Sándor Csányi/Kata Dobó/Judit Schell;II (2005, HUNGARICOM KFT., 93 perc) / II (2006, F/2893/J, HUNGARICOM KFT., 93 perc)
Csak szex és más semmi;Csak szex és más semmi;vígjáték;2005;Magyarország;Goda Krisztina;Dobó Kata/Csányi Sándor/Schell Judit;III (2005, F/2601/J) / III (2005, F/2601/J, 93 perc)
Csak szexre kellesz;No Strings Attached;;;;;;III (F/11031/J)
Családban marad;Sveitabrú?kaup;vígjáték;2008;Izland;Valdís Óskarsdóttir;Ágústa Eva Erlendsdóttir/Hreinn Beck/Erlendur Eiríksson;II (2009, F/9219/J, Cirko Film, 99 perc)
Családi kötelékek;Personal effects;thriller;2005;Kanada;Michael Scott;Casper Van Dien/Penelope Ann Miller/Laura Mennell;III (2006, F/2854/J)
Családi összeesküvés;Family Plot;thriller;1976;USA;Alfred Hitchcock;Bruce Dern/Karen Black/Barbara Harris;II (2007, F/4853/J)
Családi titok;Szemejnije tajni;társadalmi dráma;1983;Szovjetunió;Valerij Akhadov;Ato Muhamedzsanov/Kamol Szaidmuratov/Dzsamila Szadikova;14 éven aluliaknak nem ajánlott (1986, MOKÉP, 90 perc)
Családi tűzfészek;Családi tűzfészek;filmdráma;1979;Magyarország;Tarr Béla;Horváth Lászlóné/Horváth László/Kun Gábor;III (2005, F/2439/J)
Családi ügy;Family Business;vígjáték;1989;USA;Sidney Lumet;Sean Connery/Dustin Hoffman/Matthew Broderick;14 éven aluliaknak nem ajánlott (1993, BUDAPEST FILM, 90 perc) / 14 éven aluliaknak nem ajánlott (1990, INTERCOM, 113 perc)
Családi vakáció;Vacation;vígjáték;1983;USA;Harold Ramis;Randy Quaid/Chevy Chase/Beverly D'Angelo;II (2008, F/7270/J, 93 perc)
Családi vészkijárat;Wyjscie awaryjne;vígjáték;1982;Lengyelország;Roman Zaluski;Bozena Dykiel/Jerzy Michotek/Maria Gladkowska;II (2006, F/2989/J) / Korhatár nélkül (1985, MOKÉP, 94 perc)
Család kicsi kincse;Little Miss Sunshine;vígjáték;2006;USA;Jonathan Dayton/Valerie Faris;Paul Dano/Abigail Breslin/Greg Kinnear;II (2007, F/4629/J, INTERCOM, 99 perc) / II (2007, F/4629/J, INTERCOM, 99 perc)
Családok a vadonban: oroszlán-, hiéna-, makákó-, zebra család;Families in the Wild;természetfilm;2001;;;;I (2010, F/8116/D, Fesztiváliroda, 54 perc)
Családom és egyéb állatfajták;My Family and Other Animals;vígjáték;2005;Nagy-Britannia;Sheree Folkson;Eugene Simon/Tamzin Merchant/Imelda Staunton;I (2007, F/6383/J, MOKÉP, 90 perc)
Családom titkai;Imaginary Heroes;filmdráma;2004;Németország/USA/Belgium;Dan Harris;Michelle Williams/Sigourney Weaver/Emile Hirsch/Jeff Daniels;II (2007, F/5387/J, 111 perc)
Csalás az ötösért;Jegyinyica sz obmanom;ifjúsági;1983;Szovjetunió;Andrej Pracsenko;Lena Borzunova/Lena Zajceva/Oleg Kropot;Korhatár nélkül (1981, MOKÉP, 84 perc) / Korhatár nélkül (1986, MOKÉP, 77 perc)
Csalás és ámítás;The Last Time;vígjáték;2006;USA;Michael Caleo;Michael Keaton/Brendan Fraser/Amber Valletta;III (2007, F/6354/J, 96 perc)
Csalások;Frauds;vígjáték;1993;Ausztrália;Stephan Elliott;Phil Collins/Hugo Weaving/Josephine Byrnes;14 éven aluliaknak nem ajánlott (1993, BUDAPEST FILM, 90 perc)
Csalogány;Szolovej;mese;1979;Szovjetunió;Nagyezsda Koveserova;;Korhatár nélkül (1981, MOKÉP, 84 perc)
Csalóból csali;King\'s ransom;vígjáték;2005;;Jeffrey W. Byrd;Anthony Anderson/Jay Mohr;II (2006, F/2989/J)
Csalók;Les tricheurs;filmdráma;1958;Franciaország/Olaszország;Marcel Carné;Andréa Parisy/Jacques Charrier/Pascale Petit;III (2007, F/5292/J)
Csalóka napfény;Utomlyonnye solntsem;filmdráma;1994;Franciaország/Oroszország;Nyikita Mihalkov;Nyikita Mihalkov/Oleg Menshikov/Ingeborga Dapkunajtye;14 éven aluliaknak nem ajánlott (1995, BUDAPEST FILM, 152 perc)
Csalóka nyalóka;Cheech and Chong: Nice Dreams;vígjáték;1981;USA;Tommy Chong;Benita Barrie/Tommy Chong/Cheech Marin;IV (2004, F/0535/J, WARNER HOME VIDEO)
Csapat csere;Switching goals;vígjáték;1999;USA;David Steinberg;Ashley Olsen/Eric Lutes/Mary-Kate Olsen;I (2005, F/2594/J)
Csapatleépítés;Severance;horror - vígjáték;2006;Nagy-Britannia/Németország;Christopher Smith;Laura Harris/Danny Dyer/Toby Stephens;IV (2008, F/5417/J, BEST HOLLYWOOD KFT., 90 perc) /  (2007, BEST HOLLYWOOD KFT., 90 perc)
Csapás a múltból;Blast from the Past;romantikus - vígjáték;1999;USA;Hugh Wilson;Alicia Silverstone/Brendan Fraser/Christopher Walken;14 éven aluliaknak nem ajánlott (2000, FLAMEX, 106 perc)
Csapda a sakáloknak;Kapkan dlja sakalov;bűnügyi;1985;Szovjetunió;Mukadasz Mahmudov;Alla Renzajeva/Narullo Abdullajev/Andrej Podoszjan;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 82 perc)
Csapda az erdőben;Das Raubtier;ifjúsági;1978;NDK;Walter Beck;Hanjo Mende/Michael Gieseler/Holger Mahlich;Korhatár nélkül (1981, MOKÉP, 86 perc)
Csapda a zsoldosoknak;Capcana merceanarilor;háborús;1980;Románia;Sergiu Nicolaescu;Mircea Albulescu/Gheorghe Cozorici/Sergiu Nicoleascu;14 éven aluliaknak nem ajánlott (1982, MOKÉP, 116 perc)
Csapdában;Trapped;thriller;2002;Németország/USA;Luis Mandoki;Stuart Townsend/Charlize Theron/Courtney Love;II (2005, F/0857/J, SPI INTERNATIONAL MO. KFT.)
Csapdában;Catchfire;thriller;1990;USA;Dennis Hopper/Alan Smithee;Dean Stockwell/Dennis Hopper/Jodie Foster;III (2006, F/4305/J)
Csapd le Chip-et!;Fast track;vígjáték;2006;USA;Jesse Peretz;Zach Braff/Amanda Peet/Jason Bateman;III (2008, F/6967/J, INTERSONIC KFT., 88 perc)
Csapd le csacsi;Csapd le csacsi;szatíra;1991;Magyarország;Tímár Péter;Eperjes Károly/Eszenyi Enikő/Gáspár Sándor;14 éven aluliaknak nem ajánlott (1992, INTERCOM, 86 perc)
Csapd le csimpánz 2;MVP 2: Most Vertical Primate;családi;2001;Kanada;Robert Vince;Robert Costanzo/Cameron Bancroft/Richard Karn;I (2006, F/3512/J)
Csapnivaló;Living In Oblivion;vígjáték;1994;USA;Tom Dicillo;Steve Buscemi/Catherine Keener/Dermot Mulroney;14 éven aluliaknak nem ajánlott (1995, BUDAPEST FILM, 89 perc)
Csapnivaló menyegző;Christmas Wedding;vígjáték;2006;USA;Michael Zinberg;Sarah Paulson/Eric Mabius/Richard Blackburn;III (2007, F/4818/J)
Csatamezők: A franciaországi csata;Battlefield: The Battle of of France;dokumentum;1995;Nagy-Britannia/USA/Kanada;Justin McCarthy/Dave Flitton/Andrew Aitken	;;II (2009, F/9753/D, 115 perc)
Csatamezők: A normandiai csata;Battlefield: The Battle of Normandy;dokumentum;1995;Nagy-Britannia/Kanada/USA;;;II (2009, F/9751/D, Select 86, 115 perc)
Csatamezők: A sztálingrádi csata;Battlefield: The Battle of Stalingrad;dokumentum;1995;Kanada/Nagy-Britannia/USA;Dave Flitton/Andrew Aitken/Justin McCarthy;;II (2009, F/9752/D, Select 86, 115 perc)
Csatamezők: Az angliai csata;Battlefield: The Battle of Britain;dokumentum;1995;USA/Kanada/Nagy-Britannia;Dave Flitton/Andrew Aitken		/Justin McCarthy;;II (2009, F/9755/D, 115 perc)
Csatamezők: Berlini csata;Battlefield: The Battle of Berlin;dokumentum;1995;USA/Kanada/Nagy-Britannia;Dave Flitton/Andrew Aitken/Justin McCarthy;;II (2009, F/9754/D, SELECT '86, 115 perc)
Csatamezők: Midwayi csata;Battlefield: The Battle of Midway;dokumentum;1995;Kanada/Nagy-Britannia/USA;Andrew Aitken/Justin McCarthy/Dave Flitton;;II (2009, F/9756/D, Select 86, 115 perc)
Csatamezők: Tunézia;Battlefield: Tunisia;dokumentum;1995;Kanada/Nagy-Britannia/USA;Dave Flitton/Andrew Aitken/Justin McCarthy;;II (2007, F/5021/D, 103 perc)
Csatatér;Battleground;háborús;1949;USA;William A. Wellman;Ricardo Montalban/Van Johnson/John Hodiak;III (2005, F/2249/J)
Csatár a pácban;Coup de téte;szatíra;1978;Franciaország;Jean-Jacques Annaud;Patrick Dewaere/France Dougnac/Jean Bouise;14 éven aluliaknak nem ajánlott (1981, MOKÉP, 90 perc)
Csatorna;Kanal;filmdráma;1957;Lengyelország;Andrzej Wajda;Teresa Izewska/Wienczyslaw Glinski/Tadeusz Janczar;II (F/9451/J)
Csavard be, mint Beckham;Bend it like Beckham;romantikus - vígjáték;2002;Németország/USA/Nagy-Britannia;Gurinder Chadha;Parminder K. Nagra/Jonathan Rhys Meyers/Keira Knightley;14 éven aluliaknak nem ajánlott (2002, BUDAPEST FILM, 112 perc) / I (2005, F/2444/J, BUDAPEST FILM, 112 perc)
Csábító pom-pom lányok;Groove Squad;animáció;2002;USA;Patrick A. Ventura;;I (2006, F/4289/A)
Csárdáskirálynő;Csárdáskirálynő;zenés;1969;Magyarország;Szinetár Miklós;Honthy Hanna/Feleki Kamill/Rátonyi Róbert;I (2005, F/2834/E)
Csárdáskirálynő;Die Czardasfürstin;zenés;1971;NSZK/Magyarország;Szinetár Miklós;Anna Moffo/René Kollo/Huszti Péter;Korhatár nélkül (1982, MOKÉP /Felújítás/, 107 perc)
Császárok társasága - Császárok klubja;The Emperor’s Club;filmdráma;2002;USA;Michael Hoffman;Kevin Kline/Emile Hirsch/Embeth Davidtz;14 éven aluliaknak nem ajánlott (2003, UIP DUNA FILM KFT., 109 perc)
Császárok útja;La Marche de L'Empereur;dokumentum;2005;Franciaország/USA;Luc Jacquet;;I (2005, F/1076/D, INTERSONIC KFT.) / I (2005, F/1076/D, INTERSONIC KFT., 85 perc)
Cseh álom;Cesky sen;dokumentum;2004;Csehország;Vít Klusák/Filip Remunda;;II (2006, F/3943/D, 94 perc)
Csehország (Cseh Világörökségek);Csehország (Cseh Világörökségek);útifilm;2003;Magyarország;Meronka Péter;;I (2008, F/6806/E, 26 perc)
Csehov: Platonov;Csehov: Platonov;színházfilm;1991;Magyarország;Ascher Tamás;Máté Gábor/Hollósi Frigyes/Básti Juli;II (2008, F/8139/E, ADS Service Kft., 181 perc)
Csekkben a tenger - Biankó bankó;Blank Check;családi;1993;USA;Rupert Wainwright;Brian Bonsall/Karen Duffy/Miguel Ferrer;Korhatár nélkül (1994, INTERCOM, 95 perc)
Cselek;Sztuczki;vígjáték;2007;Lengyelország;Andrzej Jakimowski;Damian Ul/Tomasz Sapryk/Ewelina Walendziak;II (2009, F/8345/J, Anjou Lafayette, 95 perc)
Cselló;Chello hongmijoo ilga salinsagan;horror;2005;Dél-Korea;Woo-cheol Lee;Ho-bin Jeong/Hyeon-a Seong/Da-an Park;IV (2007, F/6336/J, Cinetel, 94 perc)
Csempelevél;Csempelevél;dokumentum;2008;Magyarország;Feszt Judit/Somogyvári Gergő;;II (F/10122/D, 25 perc)
Csendes amerikai prágában;Tichy American v Praze;bűnügyi;1977;Csehszlovákia;Stepan Skolsky/Josef Mach;Barbara Brylska/Miroslav Zounar/Josef Langmiler;14 éven aluliaknak nem ajánlott (1980, MOKÉP, 100 perc)
Csendes éj;Silent Night;filmdráma;2002;Kanada;Rodney Gibbons;Linda Hamilton/Romano Orzari/Matthew Harbour;II (2006, F/4496/E)
Csendes éj - Az első karácsony története;Silent Night: The Story of the First Christmas;animáció;2000;Ausztrália;Richard Slapczinski;;I (2005, F/2769/A)
Csendes érintés;Dotkniecie reki;filmdráma;1993;Nagy-Britannia;Krzysztof Zanussi;Sarah Miles/Max von Sydow/Lothaire Bluteau;14 éven aluliaknak nem ajánlott (1993, BUDAPEST FILM, 96 perc)
